fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
56.179558,65.32218,1,1,-1024.0,3.163588,0,1
56.667675,65.029655,1,1,10.932466,2.6248224,1,1
57.938866,64.458725,1,1,10.860766,2.4461148,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.306942,65.117,1,1,11.440794,2.9474633,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.058655,64.953865,1,1,11.381184,2.9193835,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.825684,64.77099,1,1,11.08024,2.9175055,1,1
57.99341,64.97816,1,1,10.760612,2.1370392,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.56602,-1024.0,1,0,11.094227,-1024.0,1,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.105858,65.31125,1,1,11.350796,2.3521135,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.024433,64.68494,1,1,11.189346,3.0042715,1,1
60.28217,64.77793,3,1,4.969425,2.622821,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.912037,-1024.0,1,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-10.880791,2.285236,2,1
-1024.0,64.864204,0,1,-1024.0,-1024.0,0,0
58.28613,65.60396,1,1,11.246878,3.5067015,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.326195,0,1,-1024.0,3.2133415,0,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
57.674225,65.24834,1,1,10.513983,3.1276326,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,65.316605,0,1,10.907685,3.0772746,1,1
56.82699,65.07826,1,1,11.082983,2.8913622,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.632465,65.176926,1,1,10.800806,2.832195,1,1
56.75157,65.63223,1,1,11.0658655,2.9734943,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
