fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision,Multiplicity V0,Multiplicity AD,Time V0,Time AD
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.0,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0064358407980762,0.0649645263329148,-1024.0,-1024.0
-1024.0,65.324066,0,1,11.041738,3.1691,1,1,1.1070186292636208,68.8659441662021,-750.0318142753094,-344.4705083370209
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.002026172587648,0.0627936231903731,-1024.0,-1024.0
56.763073,-1024.0,1,0,10.318699,3.2171586,1,1,0.8724592248909175,19.157952184788883,-573.3241195045412,-551.1464278697968
56.723576,64.90557,1,1,11.166882,2.668802,1,1,5.373895403521601,180.26935113966465,-138.3568672016263,60.82913684844971
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.0345016224309801,-1024.0,-1024.0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0017718400340527,0.1076762354932725,-1024.0,-1024.0
56.94261,64.858246,1,1,10.82691,2.762645,1,1,1.108960110344924,206.23999977111816,-491.9255069829524,-6.625858545303345
56.0193,-1024.0,1,0,10.018274,-1024.0,1,0,0.018648421857506,5.294211172498763,-1007.8434644639492,-483.9969501495361
56.84199,65.60572,1,1,11.320553,3.0594194,1,1,2.4025950089562684,106.94701506989075,-234.26929682679477,-208.59814429283145
57.270683,65.5292,1,1,11.436437,3.6140776,1,1,0.4728512951405719,14.382318183779716,-798.3937395997345,61.331053495407104
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0,0.0,-1024.0,-1024.0
56.203747,65.131874,1,1,11.542851,3.0417032,1,1,1.4616112095536664,39.37700855731964,-347.03433460742235,60.54572582244873
56.607025,65.51822,1,1,11.094045,3.210918,1,1,2.604129765415564,135.94723987579346,-283.1236071847379,60.85737609863281
56.565277,65.445335,1,1,11.104558,3.248015,1,1,3.068063976126723,109.21470246464014,-186.3976479433477,61.05942440032959
57.004333,65.217545,1,1,10.743217,3.2906456,1,1,1.1315802544704638,146.93457913398743,-524.8362963162363,-6.411312103271484
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0019965360406786,0.0393844731152057,-1024.0,-1024.0
56.947834,65.50121,1,1,18.957468,3.7652206,1,1,0.933069724123925,78.41321346350014,-653.5871603377163,61.36346244812012
-1024.0,65.29131,0,1,11.019244,3.4189355,1,1,0.2431136629893444,15.257783034816384,-879.3279030099511,-480.205037355423
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0,0.0031702142441645,0.0201314631849527,-1024.0,-1024.0
56.33851,65.363365,1,1,10.234481,3.0525727,1,1,0.5149685266660526,38.47070383280516,-702.2697826810181,-276.7038435935974
57.155594,64.89282,1,1,11.060392,2.8051054,1,1,1.791797529964242,82.32273560762405,-363.295055934228,60.74448585510254
56.767155,65.6884,1,1,10.986983,3.3613665,1,1,4.764639289234765,150.5519649386406,-105.97602156549692,61.230671644210815
