fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision,Multiplicity V0,Multiplicity AD,Time V0,Time AD
56.163677,65.22467,1,1,10.606822,2.9856675,1,1,244.8795427083969,3601.347541809082,6.320394465699792,60.70173597335816
57.09618,65.603874,1,1,12.408241,4.386397,1,1,12.549078479409218,424.8985328674317,8.438833326101303,61.41652846336365
56.57601,0.0,1,0,11.58599,4.566952,1,1,2.1740915151312947,32.75657629966736,2.9713751077651978,28.37267827987671
56.38994,0.0,1,0,11.704694,4.2970624,1,1,13.402477979660034,105.7399685382843,8.0904759503901,40.97876858711243
57.03587,64.76481,1,1,10.251448,2.305474,1,1,477.7138288021088,8389.51333618164,5.8752006739377975,46.12336993217468
57.00849,64.98579,1,1,11.118947,2.5793073,1,1,350.33104515075684,5987.922187805176,6.27645936049521,53.8849139213562
56.710037,64.96308,1,1,11.797709,3.2796535,1,1,90.35624298453332,1723.354808807373,7.475523460656404,60.83775854110718
56.649853,65.68719,1,1,11.259701,3.452896,1,1,220.43146657943728,3712.957756042481,6.522153373807669,57.630053758621216
56.399483,65.65135,1,1,11.687056,4.0725384,1,1,65.63650350272655,1414.8062477111816,7.681080561131239,61.03011465072632
57.10512,65.000374,1,1,11.02827,2.6601088,1,1,288.6361049413681,4530.363212585449,6.251708140596747,48.82706832885742
56.962143,65.29248,1,1,11.68733,3.3611016,1,1,152.83507347106934,3223.857650756836,6.7556428872048855,61.13063859939575
56.630745,65.4375,1,1,11.466378,3.431979,1,1,130.59195417165756,2727.278144836426,6.899309098720551,61.04102158546448
56.623146,64.597496,1,1,8.076332,1.9446675,1,1,551.9346332550049,7835.501083374023,5.174034331459552,46.43244171142578
0.0,0.0,0,0,0.0,0.0,0,0,0.0190774891525506,1.2591371536254885,0.0,0.0
57.21764,65.646835,1,1,11.9551325,3.7744858,1,1,134.96717077493668,2921.4988861083984,7.577235464006662,61.42871832847595
56.136345,65.74206,1,1,8.049126,3.1199853,1,1,448.4208652973175,7566.558319091797,5.86758410744369,49.85549449920654
57.08488,64.92347,1,1,10.655165,2.6760716,1,1,280.69774401187897,4359.871383666992,6.378199275583029,61.006352186203
56.895985,65.175766,1,1,12.139985,3.729978,1,1,9.829600516706703,211.61888790130612,7.58107778429985,61.064093828201294
0.0,0.0,0,0,0.0,0.0,0,0,0.0,2.604161113500595,0.0,0.0
57.024563,65.46351,1,1,11.758802,3.6499364,1,1,114.60361474752426,1925.9878768920896,7.27722105756402,61.24849557876587
56.570477,65.37957,1,1,10.086657,2.8877022,1,1,413.26585841178894,6816.130996704102,6.004606563132256,46.15782070159912
