fADATime,fADCTime,fADADecision,fADCDecision,fV0ATime,fV0CTime,fV0ADecision,fV0CDecision
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.278847,65.4648,1,1,10.554712,2.8711457,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.552383,65.34226,1,1,10.70454,2.7776034,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.120003,65.13572,1,1,9.882441,2.4864194,1,1
56.571533,65.285515,1,1,11.443792,3.626964,1,1
56.480385,65.74869,1,1,8.933134,2.9478252,1,1
56.70671,65.59825,1,1,10.729829,3.1834564,1,1
56.50175,65.649796,1,1,11.023421,3.5081604,1,1
56.70477,65.113815,1,1,10.779145,2.6709383,1,1
56.46537,65.40644,1,1,11.556763,3.8797455,1,1
56.464973,65.175095,1,1,9.818782,2.4882972,1,1
57.13502,-1024.0,1,0,12.908426,5.3688607,1,1
56.327415,65.14807,1,1,11.620344,3.578692,1,1
56.437508,64.92599,1,1,10.241247,2.2567506,1,1
56.321526,64.64322,1,1,9.634983,2.224166,1,1
56.406254,65.37343,1,1,11.108551,3.3976302,1,1
56.410076,65.34511,1,1,9.731861,2.6121016,1,1
56.25237,64.76669,1,1,9.9032345,2.508442,1,1
56.292038,65.42243,1,1,11.293916,3.6331139,1,1
56.99905,64.64831,1,1,11.632126,4.139009,1,1
56.913086,65.203926,1,1,10.597541,2.4506688,1,1
56.802734,64.81923,1,1,12.213139,3.3283274,1,1
56.68113,65.000984,1,1,11.094484,2.8648179,1,1
-1024.0,-1024.0,0,0,-1024.0,3.8926778,0,1
56.354755,65.05337,1,1,10.943503,2.9343297,1,1
57.357903,64.68952,1,1,12.847052,3.862334,1,1
56.86186,64.93526,1,1,11.434805,3.1875148,1,1
55.717815,64.91391,1,1,7.3669868,2.2767518,1,1
56.907833,65.22989,1,1,10.327728,2.584673,1,1
55.7546,65.28331,1,1,10.641585,3.2879357,1,1
56.68906,65.36784,1,1,10.131531,2.7153518,1,1
56.28844,65.306755,1,1,10.047963,2.9808972,1,1
56.5127,64.719536,1,1,9.129163,2.0266643,1,1
56.43268,65.31305,1,1,9.988102,3.0207276,1,1
56.58294,64.87567,1,1,11.696812,3.0417187,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.924057,65.39613,1,1,12.263257,4.0704846,1,1
56.934048,65.66869,1,1,12.333514,4.292152,1,1
56.14787,65.10691,1,1,7.191529,2.3417616,1,1
56.13647,65.02607,1,1,11.243898,3.568825,1,1
56.53674,65.49878,1,1,8.060059,2.8355992,1,1
56.906044,65.026344,1,1,11.666636,3.3338292,1,1
56.53487,65.54101,1,1,9.830161,2.734047,1,1
56.040268,65.07285,1,1,8.226538,2.428582,1,1
56.522514,64.96821,1,1,9.497595,2.3956969,1,1
56.778114,65.494286,1,1,12.366008,4.088779,1,1
56.85087,65.38564,1,1,12.3487835,4.0221534,1,1
-1024.0,-1024.0,0,0,-1024.0,3.361318,0,1
56.334488,64.92947,1,1,8.278537,2.2903965,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.45865,65.21174,1,1,9.913163,2.5839577,1,1
56.428604,65.21645,1,1,11.315819,3.3583863,1,1
56.71478,64.744194,1,1,11.61964,3.4719105,1,1
56.57489,65.09713,1,1,10.18715,2.646763,1,1
56.47994,65.392624,1,1,11.627174,3.854427,1,1
57.135574,65.270744,1,1,11.744851,3.6703732,1,1
-1024.0,65.5622,0,1,-1024.0,4.440356,0,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.761944,65.08468,1,1,11.904947,3.5028172,1,1
56.545074,65.53223,1,1,11.649717,3.709324,1,1
56.24947,47.24897,1,3,9.379672,2.3747575,1,1
-57.11503,-1024.0,2,0,-10.834455,3.2456942,2,1
56.00669,65.0105,1,1,9.330125,2.269139,1,1
56.092033,64.8632,1,1,10.174879,2.3906221,1,1
56.857754,64.733765,1,1,8.725405,2.0555415,1,1
56.44704,64.91244,1,1,9.393944,2.2807465,1,1
55.82096,65.56073,1,1,11.106599,4.0066333,1,1
56.64752,65.9201,1,1,9.264693,3.1944785,1,1
56.511524,65.641365,1,1,8.195295,2.8790224,1,1
56.364418,65.58848,1,1,10.4935875,3.0070288,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.66916,65.08243,1,1,11.166115,3.0107286,1,1
56.82643,65.25644,1,1,11.31999,3.1343582,1,1
55.979797,65.07026,1,1,11.226564,3.7018447,1,1
56.239536,65.02604,1,1,11.270261,3.7675076,1,1
56.245308,65.120544,1,1,8.784564,2.423003,1,1
56.574272,64.8245,1,1,9.35317,2.2829826,1,1
56.158096,65.09999,1,1,10.592858,2.8595667,1,1
56.815678,65.02745,1,1,8.514192,2.311894,1,1
56.57594,64.77763,1,1,8.031412,2.1016202,1,1
56.577847,65.00589,1,1,11.568085,3.2321916,1,1
56.215775,65.313385,1,1,11.514355,3.8019211,1,1
-1024.0,-1024.0,0,0,11.9252825,7.344042,1,1
56.51581,64.8134,1,1,9.949918,2.1478233,1,1
56.886642,65.242615,1,1,12.175279,4.1093926,1,1
-1024.0,-1024.0,0,0,-7.603808,4.192651,2,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
55.969456,64.988846,1,1,8.999606,2.1859627,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.5242,65.33774,1,1,9.198676,2.621198,1,1
56.91868,65.0518,1,1,11.578032,3.1534374,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.393356,65.14211,1,1,11.314095,3.235548,1,1
56.768898,64.64491,1,1,11.166306,2.2913983,1,1
56.460106,65.106636,1,1,11.083368,2.8835278,1,1
56.2392,65.10767,1,1,11.278903,3.3193045,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.35607,65.820526,1,1,9.740481,3.1130145,1,1
56.352562,65.03919,1,1,9.752774,2.4207067,1,1
56.715492,64.83698,1,1,11.774768,3.1443048,1,1
56.363384,64.89564,1,1,8.880092,2.1853545,1,1
56.269325,65.311005,1,1,8.962889,2.5663257,1,1
56.174076,65.23971,1,1,9.162015,2.4490168,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
-1024.0,-1024.0,0,0,-9.714996,4.5405083,2,1
57.136158,65.18867,1,1,11.840699,3.6334245,1,1
-1024.0,-1024.0,0,0,-1024.0,-1024.0,0,0
56.58457,65.11207,1,1,9.963176,2.5118027,1,1
56.59887,65.23995,1,1,8.941859,2.3951094,1,1
-1024.0,-1024.0,0,0,-8.444584,4.3970876,2,1
56.534237,65.27303,1,1,11.283194,3.2177792,1,1
56.852177,64.80434,1,1,9.248948,2.4648705,1,1
56.33371,65.22242,1,1,11.048018,3.0618482,1,1
56.60456,65.02428,1,1,8.643578,2.5405788,1,1
56.621742,65.15394,1,1,8.617335,2.6993499,1,1
